Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,43.7,-21.92,-90.0,top
C2,4.7uF,C_0603_1608Metric,48.725,-14.2,0.0,top
C3,1uF,C_0603_1608Metric,29.975,-27.3,0.0,top
C4,1uF,C_0603_1608Metric,33.0,-24.575,-90.0,top
C5,100nF,C_0402_1005Metric,44.7,-21.92,-90.0,top
C6,100nF,C_0402_1005Metric,67.42,-18.8,180.0,top
C7,10uF,C_0603_1608Metric,48.775,-11.6,0.0,top
C8,1uF,C_0603_1608Metric,35.075,-21.2,0.0,top
C9,20pF,C_0402_1005Metric,38.42,-26.4,180.0,top
C10,20pF,C_0402_1005Metric,41.88,-26.4,0.0,top
C11,100nF,C_0402_1005Metric,48.48,-12.9,0.0,top
C12,100nF,C_0402_1005Metric,36.8,-19.42,-90.0,top
C13,100nF,C_0402_1005Metric,39.38,-11.1,0.0,top
C14,100nF,C_0402_1005Metric,38.52,-21.0,180.0,top
C15,100nF,C_0402_1005Metric,37.22,-12.3,180.0,top
F1,500mA,Fuse_1206_3216Metric,16.6,-22.2,180.0,top
R1,10k,R_0402_1005Metric,48.49,-15.5,0.0,top
R2,10k,R_0402_1005Metric,45.7,-21.91,-90.0,top
R3,10k,R_0402_1005Metric,18.91,-14.5,0.0,top
R4,10k,R_0402_1005Metric,67.39,-19.9,180.0,top
U1,XC6206P332MR,SOT-23,30.1625,-24.75,0.0,top
U2,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,42.5,-16.0,0.0,top
U3,USBLC6-2SC6,SOT-23-6,16.5125,-18.35,90.0,top
U4,M24C64-RMN6TP,SOIC-8_3.9x4.9mm_P1.27mm,65.9,-14.4,180.0,top
Y1,8MHz Cl 20pF,Crystal_SMD_5032-2Pin_5.0x3.2mm,40.05,-24.0,180.0,top
